File,% covered,Lines,Relevant Lines,Lines covered,Lines missed
"./app/components/ui/audience_form_component.rb",100,32,20,20,0
"./app/components/ui/badge_component.rb",100,38,20,20,0
"./app/components/ui/brand_channel_form_component.rb",100,31,19,19,0
"./app/components/ui/button_component.rb",100,64,38,38,0
"./app/components/ui/card_component.rb",100,30,16,16,0
"./app/components/ui/chip_component.rb",100,56,31,31,0
"./app/components/ui/feature_card_component.rb",100,19,9,9,0
"./app/components/ui/footer_component.rb",100,27,10,10,0
"./app/components/ui/form_section_component.rb",100,28,16,16,0
"./app/components/ui/nav_component.rb",100,33,12,12,0
"./app/components/ui/planning_week_card_component.rb",100,99,55,55,0
"./app/components/ui/product_form_component.rb",100,11,7,7,0
"./app/components/ui/scene_fields_component.rb",100,125,45,45,0
"./app/components/ui/section_component.rb",100,61,34,34,0
"./app/components/ui/toast_component.rb",100,80,41,41,0
"./app/components/ui/toggle_component.rb",100,52,27,27,0
"./app/models/api_token.rb",100,32,17,17,0
"./app/models/application_record.rb",100,3,2,2,0
"./app/models/audience.rb",100,34,15,15,0
"./app/models/brand.rb",97,70,37,36,1
"./app/models/brand_channel.rb",100,6,5,5,0
"./app/models/creas_content_item.rb",100,82,37,37,0
"./app/models/creas_post.rb",100,17,10,10,0
"./app/models/creas_strategy_plan.rb",95,36,20,19,1
"./app/models/product.rb",100,4,3,3,0
"./app/models/reel.rb",100,38,21,21,0
"./app/models/reel_scene.rb",100,25,12,12,0
"./app/models/user.rb",100,19,7,7,0
"./app/presenters/brand_presenter.rb",100,92,52,52,0
"./app/presenters/planning_presenter.rb",96,100,52,50,2
"./app/serializers/api_token_serializer.rb",100,20,7,7,0
"./app/services/api_token_validator_service.rb",94,30,16,15,1
"./app/services/creas/content_item_formatter.rb",100,94,22,22,0
"./app/services/creas/noctua_strategy_service.rb",100,50,20,20,0
"./app/services/creas/prompts.rb",100,319,13,13,0
"./app/services/creas/strategy_plan_formatter.rb",91,152,54,49,5
"./app/services/creas/voxa_content_service.rb",96,129,49,47,2
"./app/services/create_strategy_service.rb",93,87,45,42,3
"./app/services/gingga_openai/chat_client.rb",100,49,24,24,0
"./app/services/gingga_openai/client_for_user.rb",100,8,5,5,0
"./app/services/gingga_openai/validate_key_service.rb",100,49,27,27,0
"./app/services/heygen/base_service.rb",96,95,46,44,2
"./app/services/heygen/check_video_status_service.rb",97,71,32,31,1
"./app/services/heygen/endpoints.rb",100,7,6,6,0
"./app/services/heygen/generate_video_service.rb",100,79,30,30,0
"./app/services/heygen/list_avatars_service.rb",100,46,23,23,0
"./app/services/heygen/list_voices_service.rb",100,67,34,34,0
"./app/services/heygen/validate_key_service.rb",100,34,16,16,0
"./app/services/kling/validate_key_service.rb",100,49,27,27,0
"./app/services/noctua_brief_assembler.rb",100,49,7,7,0
"./app/services/planning/month_formatter.rb",100,29,16,16,0
"./app/services/planning/month_normalizer.rb",100,43,22,22,0
"./app/services/planning/strategy_finder.rb",100,40,18,18,0
"./app/services/planning/strategy_formatter.rb",92,28,13,12,1
"./app/services/planning/weekly_plans_builder.rb",96,119,47,45,2
